Órgão;Número do Processo;Modalidade;Objeto;Valor Total/Global;Local de Execução/Entrega;Data Diário Oficial;Protocolo;Início da vigência do contrato;Fim da Vigência do Contrato;Situação
FMS       ;PE 46/2021;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR PARA A SECRETARIA MUNICIPAL DA SAÚDE - COM ITENS EXCLUSIVOS E COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 117.000,00;Almoxarifado da SMS - Av João Bettega 3350 - CIC;24/05/2021;01-070569/2021;29/06/2021;09/08/2021;Empenhado
FMS       ;DT 149/2021;Dispensa de Licitação - TCE;CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA PRESTAÇÃO DE SERVIÇO DE FORNECIMENTO/LOCAÇÃO, INSTALAÇÃO, MANUTENÇÃO PREVENTIVA E CORRETIVA DE 14 MONITORES MULTIPARAMÉTRICOS, 14 OXÍMETROS DEPULSO E 14 DESFRIBILADORES-CARDIOVERSORES PARA A SECRETARIA MUNICIPAL DA SAÚDE/CURITIBA.;R$ 468.720,00;RUA ATÍLIO BÓRIO, 680 - SAMU;24/05/2021;01-052428/2021;25/05/2021;20/11/2021;Confirmado Vencedor
FMS       ;DT 150/2021;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTO PROPOFOL 10MG/ML.;R$ 25.500,00;JOÃO BETTEGA, 3350 - CIC.;24/05/2021;01-074295/2021;25/05/2021;28/05/2021;Empenhado
FMS       ;DT 151/2021;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTO ROCURÔNIO BROMETO 10 MG/ML. ;R$ 160.000,00;RUA JOÃO BETTEGA, 3350 - CIC.;24/05/2021;01-074681/2021;25/05/2021;28/05/2021;Empenhado
FMS       ;DT 153/2021;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTO MIDAZOLAM.;R$ 145.000,00;RUA JOÃO BETTEGA, 3350 - CIC.;26/05/2021;01-076144/2021;26/05/2021;29/05/2021;Empenhado
FMS       ;DT 154/2021;Dispensa de Licitação - TCE;CONTRATO EMERGENCIAL PARA DISPONIBILIZAR ACESSO A LEITOS EM UTI TIPO II ADULTO E EM LEITOS CLÍNICOS/ENFERMARIA ADULTO, AOS USUÁRIOS DO SUS, PARA INTERNAMENTO EXCLUSIVO DE PACIENTES COM QUADRO SUSPEITO OU CONFIRMADO DE INFECÇÃO POR CORONAVÍRUS- COVID-19 AO SISTEMA ÚNICO DE SAÚDE - SUS/CURITIBA.;R$ 1.872.000,00;FRANCISCO TORRES 830 - DAS;26/05/2021;01-067115/2021;29/05/2021;24/11/2021;Confirmado Vencedor
FMS       ;DT 155/2021;Dispensa de Licitação - TCE;AQUISIÇÃO DE TESTE RÁPIDO PARA SARSCOV-2.;R$ 742.500,00;RUA JOÃO BETTEGA, 3350 - CIC.;27/05/2021;01-076577/2021;28/05/2021;31/05/2021;Empenhado
FMS       ;DT 156/2021;Dispensa de Licitação - TCE;INSTALAÇÃO DE PONTOS DE OXIGÊNIO. ;R$ 188.400,00;RUA FRANCISCO TORRES, 830 - 4º ANDAR;27/05/2021;01-073923/2021;28/05/2021;31/05/2021;Empenhado
FMS       ;DT 157/2021;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTOS HEPARINA E FENTANILA.;R$ 223.790,00;RUA JOÃO BETTEGA, 3350 - CIC.;28/05/2021;01-076738/2021;28/05/2021;31/05/2021;Empenhado
FMS       ;DT 158/2021;Dispensa de Licitação - TCE;AQUISIÇÃO DE SERINGA DE 1ML DESCARTÁVEL ESTÉRIL.;R$ 98.000,00;RUA JOÃO BETTEGA, 3350 - CIC.;28/05/2021;01-076724/2021;28/05/2021;25/06/2021;Empenhado
FMS       ;DT 160/2021;Dispensa de Licitação - TCE;CONTRATO EMERGENCIAL DE SERVIÇOS HOSPITALARES PARA DISPONIBILIZAR O ACESSO A LEITOS EM UTI TIPO II ADULTO E LEITOS CLÍNICOS/ENFERMARIA ADULTO, PARA INTERNAMENTO EXCLUSIVO DE PACIENTES COM QUADRO SUSPEITO OU CONFIRMADO DE INFECÇÃO POR CORONAVÍRUS - COVID-19 AO SISTEMA ÚNICO DE SAÚDE.;R$ 3.690.000,00;FRANCISCO TORRES Nº 830 - DAS;31/05/2021;01-065760/2021;08/06/2021;04/12/2021;Confirmado Vencedor
FMS       ;DT 162/2021;Dispensa de Licitação - TCE;CONTRATAÇÃO EMERGENCIAL DE LEITOS EXCLUSIVOS DE UTI´STIPO II ADULTO E LEITOS CLÍNICOS/ENFERMARIA ADULTO AOS USUÁRIOS DO SUS COM QUADRO CLÍNICO SUSPEITO OU CONFIRMADO POR INFECÇÃO POR CORONAVÍRUS-COVID-19.;R$ 26.760.000,00;RUA FRANCISCO TORRES 830 - DAS;01/06/2021;01-070898/2021;04/06/2021;30/11/2021;Confirmado Vencedor
FMS       ;PE 49/2021;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE CARGAS DE OXIGÊNIO, AR MEDICINAL E OXÍDO NITROSO, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM ITENS EXCLUSIVOS PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI e ITENS PARA AMPLA PARTICIPAÇÃO;R$ 3.897.679,50;Conforme descrito no Termo de Referência;02/06/2021;01-075136/2021;01/06/2021;03/08/2022;Parcialmente Empenhado
FMS       ;DT 163/2021;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTO FENTANILA CITRATO.;R$ 56.610,00;RUA JOÃO BETTEGA, 3350 - CIC.;02/06/2021;01-078467/2021;02/06/2021;05/06/2021;Empenhado
FMS       ;DT 164/2021;Dispensa de Licitação - TCE;AQUISIÇÃO DE VENTILADOR PULMONAR. ;R$ 2.200.000,00;RUA JOÃO BETTEGA, 3350 - CIC - ALMOXARIFADO SMS.;07/06/2021;01-080442/2021;08/06/2021;11/06/2021;Empenhado
FMS       ;DT 165/2021;Dispensa de Licitação - TCE;AQUISIÇÃO DE CARGAS DE OXIGÊNIO.;R$ 759.600,00;RUA JOÃO BETTEGA, 3350 - CIC - ALMOXARIFADO SMS.;07/06/2021;01-079314/2021;08/06/2021;11/06/2021;Empenhado
FMS       ;DT 166/2021;Dispensa de Licitação - TCE;AQUISIÇÃO DE MONITOR MULTIPARAMÉTRICO. ;R$ 386.220,00;RUA JOÃO BETTEGA, 3350;09/06/2021;01-081598/2021;10/06/2021;13/06/2021;Empenhado
FMS       ;DT 167/2021;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTO MIDAZOLAM 5MG/ML. ;R$ 232.000,00;RUA JOÃO BETTEGA, 3350 - CIC.;09/06/2021;01-081746/2021;09/06/2021;12/06/2021;Empenhado
SMAP      ;DT 10/2021;Dispensa de Licitação - TCE;Contratação emergencial de Empresa para prestação de serviços de sanitização nos equipamentos do transporte coletivo de Curitiba ônibus, estações tubos, abrigos de ônibus e terminais de integração pelo período de 120 (cento e vinte) dias.;R$ 240.000,00;Conforme processo;11/06/2021;01-078998/2021;15/06/2021;12/10/2021;Confirmado Vencedor
FMS       ;PE 56/2021;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MEDICAMENTOS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES;R$ 156.772,49;R. João Bettega, 3350 - CIC - Almoxarifado SMS;15/06/2021;01-069234/2021;14/06/2021;29/07/2022;Parcialmente Empenhado
FMS       ;DT 171/2021;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTO CLORETO DE SUXAMETÔNIO.;R$ 40.660,00;RUA JOÃO BETTEGA, 3350 - CIC.;14/06/2021;01-083483/2021;15/06/2021;18/06/2021;Empenhado
FMS       ;DT 172/2021;Dispensa de Licitação - TCE;AQUISIÇÃO DE BOMBA INFUSORA PARA A SMS.;R$ 1.440.000,00;RUA JOÃO BETTEGA, 3350 - CIC.;15/06/2021;01-083504/2021;16/06/2021;26/06/2021;Empenhado
FMS       ;DT 179/2021;Dispensa de Licitação - TCE;AQUISIÇÃO DE FLUXÔMETRO DE OXIGÊNIO.;R$ 11.400,00;RUA JOÃO BETTEGA, 3350 - ALMOXARIFADO SMS.;18/06/2021;01-086524/2021;21/06/2021;24/06/2021;Empenhado
FMAS      ;PE 7/2021;PREGÃO ELETRÔNICO;AQUISIÇÃO DE AVENTAIS, ÁLCOOL LÍQUIDO, ÁLCOOL GEL, LUVAS DESCARTÁVEIS, TOUCA E MÁSCARAS DESCARTAVEIS, PARA SUPRIR AS DEMANDAS DE ATENDIMENTO DA FUNDAÇÃO DE AÇÃO SOCIAL, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS;R$ 683.700,57;Conforme empenho;23/06/2021;01-052837/2021;21/06/2021;15/03/2022;Parcialmente Empenhado
FMS       ;DT 182/2021;Dispensa de Licitação - TCE;AQUISIÇÃO DE CÂNULA PARA ENTUBAÇÃO, ENDOTRAQUEAL Nº6,0. ;R$ 485,00;RUA JOÃO BETTEGA, 3350 - ALMOXARIFADO SMS.;22/06/2021;01-087209/2021;23/06/2021;26/06/2021;Empenhado
FMS       ;IN 8/2021;Inexigibilidade de Licitação; EQUIPAMENTO MÉDICO-HOSPITALAR (MANUTENÇÃO DE CÂMARAS DE REFRIGERAÇÃO).;R$ 5.030,00;AVENIDA IGUAÇU, 576.;24/06/2021;01-074029/2021;25/06/2021;30/08/2021;Empenhado
FMS       ;DT 185/2021;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTO CLORIDRATO DE DEXTROCETAMINA.;R$ 22.050,00;RUA JOÃO BETTEGA, 3350 - CIC.;25/06/2021;01-091281/2021;28/06/2021;01/07/2021;Empenhado
FMS       ;DT 190/2021;Dispensa de Licitação - TCE;AQUISIÇÃO DE INSUMOS DE LABORATÓRIO: DETERMINAÇÃO DE HEMOCULTURA AUTOMATIZADA EM FRASCO PARA COLETA ADULTA E DETERMINAÇÃO DE HEMOCULTURA AUTOMATIZADA EM FRASCO PARA COLETA PEDIÁTRICA.  ;R$ 97.200,00;RUA PRIMO LOURENÇO TOSIN, 1021.;28/06/2021;01-089814/2021;29/06/2021;02/07/2021;Empenhado
FMS       ;PE 65/2021;PREGÃO ELETRÔNICO;AQUISIÇÃO DE UNIDADES AUXILIARES PARA CADEIRAS ODONTOLÓGICAS PARA A SECRETARIA MUNICIPAL DA SAÚDE - COM COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 234.400,00;R. João Bettega, 3350, CIC - Almoxarifado SMS;01/07/2021;01-073184/2021;22/07/2021;05/10/2021;Empenhado
FMS       ;DT 194/2021;Dispensa de Licitação - TCE;AQUISIÇÃO DE AVENTAL PARA PROCEDIMENTO, DESCARTÁVEL. ;R$ 375.600,00;RUA JOÃO BETTEGA, 3350, CIC.;02/07/2021;01-094977/2021;02/07/2021;27/07/2021;Empenhado
FCC       ;IN 4/2021;Inexigibilidade de Licitação;EDITAL Nº 14/2021 - FCC DIGITAL V - CIRCOS DE LONA.;R$ 150.000,00;Rua Engenheiros Rebouças, 1732;02/07/2021;01-052217/2021;05/07/2021;04/07/2022;Confirmado Vencedor
FMS       ;PE 68/2021;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MATERIAL DE CONSUMO MÉDICO HOSPITALAR, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM ITENS EXCLUSIVOS E COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/ME;R$ 436.645,50;Rua João Bettega, 3350 - CIC - Almoxarifado da SMS;06/07/2021;01-080549/2021;05/07/2021;03/09/2022;Parcialmente Empenhado
FMS       ;DT 196/2021;Dispensa de Licitação - TCE;CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA A PRESTAÇÃO DE SERVIÇO DE LOCAÇÃO, INSTALAÇÃO, MANUTENÇÃO PREVENTIVA DE ATÉ 02 COMPRESSORES DE AR COMPRIMIDO PARA ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DA SAÚDE DE CURITIBA NO ENFRENTAMENTO DA PANDEMIA ADVINDA DA COVID-19.;R$ 45.600,00;SECRETARIA MUNICIPAL DA SAÚDE;05/07/2021;01-084794/2021;06/07/2021;01/01/2022;Confirmado Vencedor
FMS       ;DT 197/2021;Dispensa de Licitação - TCE;AQUISIÇÃO DE COLETOR DE SECREÇÕES PARA BRONCOSPIA.;R$ 12.900,00;RUA PRIMO LOURENÇO TOSIN, 1021.;06/07/2021;01-095919/2021;07/07/2021;10/07/2021;Empenhado
FMS       ;DT 198/2021;Dispensa de Licitação - TCE;AQUISIÇÃO DE DETERMINAÇÃO C.M.I. DA POLIMIXINA.;R$ 3.548,00;RUA PRIMO LOURENÇO TOSIN, 1021.;06/07/2021;01-096464/2021;07/07/2021;10/07/2021;Empenhado
FMS       ;PE 71/2021;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MÁSCARAS DE TECIDO PELA SECRETARIA MUNICIPAL DA SAÚDE - COM ITENS EXCLUSIVOS E COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI;R$ 950.753,12;R. João Bettega, 3350 - CIC - Almoxarifado SMS;13/07/2021;01-093963/2021;13/08/2021;08/04/2022;Empenhado
FMS       ;PE 74/2021;PREGÃO ELETRÔNICO;AQUISIÇÃO DE TELEFONE CELULAR (SMARTPHONE) PARA SECRETARIA MUNICIPAL DA SAÚDE - COM COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI. ;R$ 327.146,25;Rua Francisco Torres, 830, 8º andar - Curitiba PR - Superintendência;16/07/2021;01-087543/2021;20/08/2021;09/09/2021;Empenhado
FMS       ;DT 206/2021;Dispensa de Licitação - TCE;AQUISIÇÃO DE SULFATO DE MAGNÉSIO 10% INJETÁVEL.;R$ 4.939,00;RUA JOÃO BETTEGA, 3350 - CIC.;23/07/2021;01-108726/2021;26/07/2021;29/07/2021;Empenhado
FMS       ;FN 7/2021;Financeiro;TERMO DE DOAÇÃO DE 10.000 (DEZ MIL) VOUCHERS NO VALOR DE ATÉ R$ 30,00 (TRINTA REAIS) CADA, PARA SEREM USADOS ATRAVÉS DO APLICATIVO DA UBER, OS QUAIS SERÃO DESTINADOS EXCLUSIVAMENTE PARA O TRANSPORTE DE MATERIAIS E/OU PESSOAS QUE EXECUTAM ATIVIDADES RELACIONADAS À CAMPANHA DE VACINAÇÃO CONTRA O COVID-19.;R$ 0,00;;23/07/2021;01-101427/2021;23/07/2021;15/12/2021;Confirmado Vencedor
SMAP      ;PE 154/2021;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA GERENCIAMENTO, VIA INTERNET, COM FORNECIMENTO DE COMBUSTÍVEIS (GASOLINA, ETANOL E DIESEL), POR DEMANDA, EM REDE DE POSTOS CREDENCIADOS, POR MEIO DE SISTEMA ELETRÔNICO, COM FORNECIMENTO GRATUITO POR PARTE DA EMPRESA CONTRATADA DOS CARTÕES MAGNÉTICOS E/OU MAGNÉTICOS COM CHIP DE SEGURANÇA NECESSÁRIOS PARA O ABASTECIMENTO, PELO PERÍODO DE 36 MESES;R$ 24.903.703,62;Conforme Termo de Referência;16/09/2021;01-087343/2020;29/11/2021;27/11/2024;Confirmado Vencedor
FMS       ;DT 209/2021;Dispensa de Licitação - TCE;AQUISIÇÃO DE TESTE RÁPIDO PARA SARSCOV-2.;R$ 225.000,00;RUA PRIMO LOURENÇO TOSIN, 1021.;28/07/2021;01-110102/2021;29/07/2021;01/08/2021;Empenhado
FMS       ;DT 210/2021;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTO MIDAZOLAM 15MG INJETÁVEL.;R$ 30.000,00;RUA JOÃO BETTEGA, 3350 - CIC.;28/07/2021;01-112403/2021;29/07/2021;01/08/2021;Empenhado
FMS       ;DT 211/2021;Dispensa de Licitação - TCE;CONTRATAÇÃO EMERGENCIAL PARA A PRESTAÇÃO DE SERVIÇO DE LOCAÇÃO DE ATÉ 1.000 (UM MIL) METROS QUADRADOS DE PISO TABLADO PARA SUPRIR AS NECESSIDADES DA SECRETARIA MUNICIPAL DA SAÚDE.;R$ 112.020,00;RUA FRANCISCO TORRES 830;28/07/2021;01-097224/2021;02/08/2021;28/01/2022;Confirmado Vencedor
FMS       ;DT 212/2021;Dispensa de Licitação - TCE;AQUISIÇÃO DE CENTRAIS DE VÁCUO MEDICINAL.;R$ 735.500,00;RUA FRANCISCO TORRES, 830 - 4º ANDAR.;28/07/2021;01-093765/2021;29/07/2021;01/08/2021;Empenhado
SME       ;IN 23/2021;Inexigibilidade de Licitação;Prestação de serviços Educacionais para o atendimento integral de crianças nas etapas da Educação Infantil, que se dará nas dependências da contratada.;R$ 45.389.400,00;Superintenência Executiva - SME42;29/07/2021;01-102319/2021;27/07/2021;31/12/2023;Confirmado Vencedor
FMS       ;PE 78/2021;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MEDICAMENTOS PARA A SECRETARIA MUNICIPAL DA SAÚDE - AMPLA PARTICIPAÇÃO.;R$ 121.800,00;Almoxarifado da SMS-Av João Bettega 3350, CIC;02/08/2021;01-108759/2021;27/08/2021;11/09/2021;Parcialmente Empenhado
FMS       ;DT 215/2021;Dispensa de Licitação - TCE;CONTRATO PARA PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO, INSTALAÇÃO DE NOBREAK DE 65KVA, PARA IMPLANTAÇÃO DO CENTRO DE VACINAÇÃO CONTRA A COVID-19 PAVILHÃO DA CURA DA SECRETARIA MUNICIPAL DA SAÚDE, NO PARQUE BARIGUI.;R$ 18.600,00;RUA FRANCISCO TORRES 830;02/08/2021;01-111311/2021;08/08/2021;03/02/2022;Confirmado Vencedor
SMAP      ;PE 174/2021;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MATERIAL DE HIGIENE E LIMPEZA, PARA ATENDER AOS ÓRGÃOS DO MUNICÍPIO DE CURITIBA, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES;R$ 2.759.493,74;Conforme Termo de Referência;06/08/2021;01-137207/2020;05/08/2021;17/01/2023;Parcialmente Empenhado
FMS       ;DT 216/2021;Dispensa de Licitação - TCE;CONTRATO PARA PRESTAÇÃO DE SERVIÇO DE LOCAÇÃO DE GERADOR PARA O CENTRO DE VACINAÇÃO CONTRA A COVID-19  "PAVILHÃO DA CURA" DA SECRETARIA MUNICIPAL DA SAÚDE.;R$ 24.000,00;RUA FRANCISCO TORRES 830;05/08/2021;01-116503/2021;08/08/2021;03/02/2022;Confirmado Vencedor
FMS       ;PE 80/2021;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MEDICAMENTOS PARA SECRETARIA MUNICIPAL DA SAÚDE - COM COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 310.104,77;Almoxarifado da SMS-Av João Bettega 3350-CIC;05/08/2021;01-106126/2021;03/09/2021;13/09/2021;Empenhado
FMS       ;DT 217/2021;Dispensa de Licitação - TCE;CONTRATO DE PRESTAÇÃO DE SERVIÇO DE LOCAÇÃO, INSTALAÇÃO, MANUTENÇÃO PREVENTIVA E CORRETIVA DE ATÉ 1.200m² DE MONTAGEM BÁSICA, PAINÉIS PADRÃO TS E LOCAÇÃO DE ATÉ 420 metros linear DE MONTAGEM DE PAINÉIS PARA FECHAMENTO DE ÁREA, PADRÃO TS. PARA IMPLANTAÇÃO DO CENTRO DE VACINAÇÃO CONTRA A COVID-19 PAVILHÃO DA CURA DA SECRETARIA MUNICIPAL DA SAÚDE.  ;R$ 341.100,00;RUA FRANCISCO TORRES 830;05/08/2021;01-117461/2021;08/08/2021;03/02/2022;Confirmado Vencedor
SMAP      ;PE 178/2021;PREGÃO ELETRÔNICO;Aquisição de Água Sanitária, Álcool etílico líquido hidratado 70° inpm, Álcool gel 70% antisséptico Frasco 500ml, Álcool gel 70% para higiene e limpeza em galões de 5 litros, Desinfetante diluição 1:10, Detergente Neutro e Sabonete Liquido cremoso, pelo SistemadeRegistrodePreços, pelo períodode06 (seis) meses.;R$ 515.447,82;Conforme edital.;09/08/2021;01-063699/2021;06/08/2021;29/10/2022;Empenhado
FMS       ;PE 82/2021;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MEDICAMENTOS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI;R$ 15.878.982,00;R. João Bettega, 3350 - CIC - Almoxarifado SMS;01/09/2021;01-112169/2021;11/08/2021;18/01/2023;Parcialmente Empenhado
FMS       ;FN 10/2021;Financeiro;TERMO DE DOAÇÃO PARA PRESTAÇÃO DE SERVIÇOS LABORATORIAIS DO MONTANTE DE ATÉ 07 (SETE) MIL TESTES LABORATORIAIS REMOTOS DE COVID-19 ANTÍGENO, PARA OS TRABALHADORES ATUANTES NO ENFRENTAMENTO DA PANDEMIA COVVID-19 ;R$ 0,00;RUA FRANCISCO TORRES, 830 - SMS;10/08/2021;04-036860/2021;29/10/2021;27/12/2021;Confirmado Vencedor
FMS       ;PE 84/2021;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE INSUMOS PARA LABORATÓRIO, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM ITENS EXCLUSIVOS E COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI e ITENS PARA AMPLA PARTICIPAÇÃO;R$ 277.227,41;Rua Primo Loureço Tosin, 1021 - Novo Mundo - Laboratório Municipal;27/08/2021;01-102956/2021;12/08/2021;27/10/2022;Parcialmente Empenhado
FMS       ;PE 85/2021;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE TESTE RÁPIDO ANTÍGENO SARSCOV-2 , ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES -  COM COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 804.250,00;Rua João Bettega,  3350 - CIC - Curitiba-PR Almoxarifado SMS;17/08/2021;01-112698/2021;16/08/2021;13/10/2022;Empenhado
FMS       ;PE 86/2021;PREGÃO ELETRÔNICO;AQUISIÇÃO DE HEADSET PARA SECRETARIA MUNICIPAL DA SAÚDE - COM ITEM EXCLUSIVO E COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 53.200,00;Rua Atílio Bório, 680 - Alto da XV - Curitiba - PR;16/08/2021;01-045158/2021;15/10/2021;14/11/2021;Empenhado
FCC       ;IN 5/2021;Inexigibilidade de Licitação;Editla nº 013/2021 - FCC DIGITAL IV - OFICINAS DE ARTES CARNAVALESCAS DAS ESCOLAS DE SAMBA DO CARNAVAL DE CURITIBA.;R$ 67.500,00;Rua Engenheiros Rebouças ,1732;17/08/2021;01-051831/2021;20/08/2021;19/08/2022;Confirmado Vencedor
FMS       ;DT 223/2021;Dispensa de Licitação - TCE;CONTRATO EMERGENCIAL DE LOCAÇÃO DE ATÉ 180 TENDAS PIRAMIDAL 5 X 5, PÉ DIREITO 3m, COR BRANCO-GELO, ESTRUTURA EM AÇO, EM LONA DE ALTA RESISTÊNCIA COM FECHAMENTO NOS 4 LADOS, INCLUINDO OS SERVIÇOS DE TRANSPORTE, MONTAGEM E DESMONTAGEM. PARA A SECRETARIA MUNICIPAL DA SAÚDE.;R$ 432.000,00;RUA FRANCISCO TORRES, 830 - SMS;20/08/2021;01-123072/2021;23/08/2021;18/02/2022;Confirmado Vencedor
FMS       ;DT 228/2021;Dispensa de Licitação - TCE;CONTRATO EMERGENCIAL PARA DISPONIBILIZAR ACESSO A LEITOS EM UTI TIPO II ADULTO E LEITOS CLÍNICOS/ENFERMARIA ADULTO, PARA INTERNAMENTO EXCLUSIVO DE PACIENTES COM QUADRO SUSPEITO OU CONFIRMADO DE INFECÇÃO POR CORONAVÍRUS - COVID-19 AO SISTEMA ÚNICO DE SAÚDE.;R$ 1.710.000,00;RUA FRANCISCO TORRES, 830 - SMS;31/08/2021;01-125526/2021;13/09/2021;11/03/2022;Confirmado Vencedor
FMS       ;DT 229/2021;Dispensa de Licitação - TCE;PRESTAÇÃO DE SERVIÇOS DE EXECUÇÃO E MANUTENÇÃO PREVENTIVA E CORRETIVA NAS CABINES DE ALTA TENSÃO DAS UINIDADE DE PRONTO ATENDIMENTO (UPAs) E UNIDADE BÁSICA DE SAÚDE (UBSs)DO MUNICÍPIO DE CURITIBA.;R$ 103.500,00;RUA FRANCISCO TORRES, 830 - 4º ANDAR.;01/09/2021;01-133453/2021;03/09/2021;06/09/2021;Empenhado
FMAS      ;DT 19/2021;Dispensa de Licitação - TCE;PRESTAÇÃO  DE  SERVIÇOS  DE  LAVANDERIA  INDUSTRIAL  (COLETA, SEPARAÇÃO,  CLASSIFICAÇÃO,  PROCESSO  DE  LAVAGEM  DE  ACORDO  COM  A SUJIDADE, CENTRIFUGAÇÃO,  PREPARAÇÃO,  PROCESSO  DE  SECAGEM,  ACONDICIONAMENTO  E DEVOLUÇÃO), PARA ATENDER A DEMANDA JUNTO A FUNDAÇÃO DE AÇÃO SOCIAL.;R$ 117.600,00;CONFORME CONTRATO;01/09/2021;01-126142/2021;03/09/2021;17/10/2021;Confirmado Vencedor
FMS       ;DT 230/2021;Dispensa de Licitação - TCE;CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA A PRESTAÇÃO DOS SERVIÇOS DE TELEFONIA MÓVEL PESSOAL, DE ACORDO COM AS NORMAS ESTABELECIDAS PELA ANATEL, NO SISTEMA SMP PARA LIGAÇÕES DO TIPO VC1, VC2 E VC3, TECNOLOGIA GSM OU SUPERIOR PARA TRAFEGO DE VOZ E DADOS, COM FORNECIMENTO DE CHIP DE TRIPLO CORTE PARA A SECRETARIA MUNICIPAL DA SAUDE DE CURITIBA, POR UM PERIODO DE ATÉ 180 DIAS;R$ 26.280,00;RUA FRANCISCO TORRES 830;01/09/2021;01-123653/2021;08/09/2021;06/03/2022;Confirmado Vencedor
FMS       ;DT 232/2021;Dispensa de Licitação - TCE;AQUISIÇÃO DE TESTE RÁPIDO PARA SARSCOV-2.;R$ 348.500,00;RUA JOÃO BETTEGA, 3350 - CIC.;02/09/2021;01-137695/2021;03/09/2021;06/09/2021;Empenhado
